Date,Open,High,Low,Close
18-June-2007,14241.76,14283.71,14057.26,14080.14,
19-June-2007,14088.58,14315.18,14058.79,14295.50,
20-June-2007,14359.96,14449.38,14347.58,14411.95,
21-June-2007,14415.56,14526.44,14406.67,14499.24,
22-June-2007,14508.63,14560.32,14441.76,14467.36,
25-June-2007,14469.43,14521.62,14424.71,14487.72,
26-June-2007,14478.75,14560.48,14478.75,14501.08,
27-June-2007,14520.19,14520.19,14407.12,14431.06,
28-June-2007,14498.05,14537.04,14435.24,14504.57,
29-June-2007,14589.52,14663.25,14574.45,14650.51,
2-July-2007,14685.16,14745.97,14638.88,14664.26,
3-July-2007,14720.00,14828.39,14720.00,14806.51,
4-July-2007,14868.14,14906.93,14790.75,14880.24,
5-July-2007,14932.53,14963.26,14731.22,14861.89,
6-July-2007,14843.43,15007.22,14826.56,14964.12,
9-July-2007,15018.71,15085.22,15005.47,15045.73,
10-July-2007,15100.13,15114.95,14966.40,15009.88,
11-July-2007,14948.15,15015.35,14829.55,14910.62,
12-July-2007,14963.53,15112.22,14963.53,15092.04,
13-July-2007,15216.83,15330.73,15216.83,15272.72,
16-July-2007,15295.03,15341.38,15239.41,15311.22,
17-July-2007,15357.60,15440.20,15272.46,15289.82,
18-July-2007,15296.06,15325.78,15160.27,15301.17,
19-July-2007,15357.38,15593.31,15357.38,15550.13,
20-July-2007,15625.63,15683.03,15524.68,15565.55,
23-July-2007,15560.57,15773.37,15477.91,15732.20,
24-July-2007,15802.19,15868.85,15742.32,15794.92,
25-July-2007,15711.87,15771.26,15572.98,15699.33,
26-July-2007,15768.28,15812.27,15654.40,15776.31,
27-July-2007,15487.76,15495.51,15159.68,15234.57,
30-July-2007,15278.03,15451.81,15135.25,15260.91,
31-July-2007,15358.69,15568.85,15224.82,15550.99,
1-August-2007,15344.02,15344.02,14910.52,14935.77,
2-August-2007,15022.87,15134.53,14896.47,14985.70,
3-August-2007,15061.13,15235.51,15061.13,15138.40,
6-August-2007,14892.60,14928.80,14705.58,14903.03,
7-August-2007,15038.03,15142.04,14901.83,14932.77,
8-August-2007,15088.07,15340.24,15088.07,15307.98,
9-August-2007,15452.44,15542.40,15062.10,15100.15,
10-August-2007,14674.92,14901.31,14570.89,14868.25,
13-August-2007,14965.65,15044.74,14869.15,15017.21,
14-August-2007,15066.71,15069.64,14964.66,15000.91,
16-August-2007,14584.92,14584.92,14345.03,14358.21,
17-August-2007,14309.37,14318.56,13779.88,14141.52,
20-August-2007,14512.28,14680.09,14406.91,14427.55,
21-August-2007,14512.19,14534.51,13941.93,13989.11,
22-August-2007,14055.40,14281.48,13870.70,14248.66,
23-August-2007,14458.33,14554.93,14128.72,14163.98,
24-August-2007,14237.26,14455.49,14163.61,14424.87,
27-August-2007,14581.35,14858.93,14581.35,14842.38,
28-August-2007,14857.65,14952.04,14751.68,14919.19,
29-August-2007,14651.49,15029.53,14592.11,14993.04,
