Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),,,
24-May-16,7738.05,7761.55,7715.8,7748.85,151538169,6119.23,,76,
25-May-16,7811.8,7941.2,7809.3,7934.9,181636649,8202.39,,77,
26-May-16,7974.45,8083,7948.5,8069.65,272456307,12422,,78,
27-May-16,8081.95,8164.2,8077.05,8156.65,268963949,10607.22,,79,
30-May-16,8166.5,8200,8150.8,8178.5,255086293,9199.38,,80,
31-May-16,8209.85,8213.6,8134.3,8160.1,485645737,21491.53,,81,
1-Jun-16,8179.2,8215.35,8171.05,8179.95,200371829,8408.53,,82,
2-Jun-16,8156.9,8229.5,8154.75,8218.95,187316365,8389.69,,83,
3-Jun-16,8246.2,8262,8209.85,8220.8,390652017,10762.52,,84,
6-Jun-16,8228.75,8234.7,8186.05,8201.05,176885226,7657.92,,85,
7-Jun-16,8235.55,8294.95,8216.4,8266.45,249365706,10462.49,,86,
8-Jun-16,8285.5,8288.9,8252.05,8273.05,179710369,7614.02,,87,
9-Jun-16,8273.35,8273.35,8184.6,8203.6,180293039,7973.1,,88,
10-Jun-16,8180.25,8265.6,8162.85,8170.05,187757375,7853.83,,89,
13-Jun-16,8102.25,8125.25,8063.9,8110.6,174916286,7343.99,,90,
14-Jun-16,8134.4,8134.95,8069.5,8108.85,150042362,6003.23,,91,
15-Jun-16,8139.4,8213.2,8123.15,8206.6,174953935,6945.89,,92,
16-Jun-16,8180.65,8180.65,8074.45,8140.75,195028743,7764.57,,93,
17-Jun-16,8176.65,8195.25,8135.8,8170.2,171842760,7741.9,,94,
20-Jun-16,8115.75,8244.15,8107.35,8238.5,173750792,7392.97,,95,
21-Jun-16,8255.4,8257.25,8202.15,8219.9,141161921,5978.26,,96,
22-Jun-16,8213.65,8238.35,8153.25,8203.7,140268297,6377.69,,97,
23-Jun-16,8201.15,8285.6,8188.3,8270.45,158852677,6805.86,,98,
24-Jun-16,8029.1,8100.7,7927.05,8088.6,306803641,13263.08,,99,
27-Jun-16,8039.35,8120.65,8039.35,8094.7,167462711,7614.06,,100,
28-Jun-16,8096.05,8146.35,8086.85,8127.85,175724276,7777.39,,101,
29-Jun-16,8173.1,8212.4,8157.65,8204,151499716,6940.87,,102,
30-Jun-16,8260.25,8308.15,8242.1,8287.75,288031935,12346.32,,103,
1-Jul-16,8313.05,8356.75,8308.65,8328.35,170581881,7358.38,,104,
4-Jul-16,8376.75,8398.45,8364.7,8370.7,158955823,6662.92,,105,
5-Jul-16,8379.3,8381.45,8319.95,8335.95,143253937,5976.01,,106,
7-Jul-16,8342,8361.95,8317.7,8337.9,160327315,7592.94,,107,
8-Jul-16,8350,8353.3,8287.55,8323.2,142159935,6886.33,,108,
11-Jul-16,8413.35,8475.25,8407.05,8467.9,154399933,7576.69,,109,
12-Jul-16,8502.6,8526.6,8479.2,8521.05,189339750,7873.74,,110,
13-Jul-16,8540.45,8550.25,8493.55,8519.5,201492184,8284.38,,111,
14-Jul-16,8515.75,8571.4,8500.7,8565,158738499,6890.07,,112,
15-Jul-16,8565.45,8594.8,8510.05,8541.4,228598684,12375.84,,113,
18-Jul-16,8564.05,8587.1,8494.35,8508.7,169400452,8200.06,,114,
19-Jul-16,8514.3,8540.05,8476.7,8528.55,173050805,7928.14,,115,
20-Jul-16,8515.45,8569.9,8512.55,8565.85,165349380,7936.36,,116,
21-Jul-16,8582.7,8585.25,8503.45,8510.1,154575685,7399.71,,117,
22-Jul-16,8519.65,8548.95,8489.8,8541.2,147619642,6504,,118,
25-Jul-16,8519.95,8641.15,8517.2,8635.65,154631398,7850.12,,119,
26-Jul-16,8633.75,8644.9,8577.15,8590.65,159563469,8765.45,,120,
27-Jul-16,8599.4,8665,8572.05,8615.8,189796380,10885.88,,121,
28-Jul-16,8636.95,8674.7,8625.25,8666.3,240721865,12998.06,,122,
29-Jul-16,8668.3,8670.35,8631.15,8638.5,161935155,8428.8,,123,
1-Aug-16,8654.3,8711.3,8590.5,8636.55,194186858,9881.67,,124,
2-Aug-16,8647.45,8687.2,8611.4,8622.9,174556789,8652.31,,125,
3-Aug-16,8635.2,8635.45,8529.6,8544.85,168033073,8507.82,,126,
4-Aug-16,8599.95,8601.4,8518.15,8551.1,169780463,7399.03,,127,
5-Aug-16,8600.2,8689.4,8590.15,8683.15,162784913,7635.01,,128,
8-Aug-16,8712.85,8723.5,8697.6,8711.35,177877012,7862.15,,129,
9-Aug-16,8727.8,8728.35,8638.2,8678.25,206261255,9111.4,,130,
10-Aug-16,8686.7,8690.1,8564.6,8575.3,178963496,8206.18,,131,
11-Aug-16,8572.8,8601.15,8540.05,8592.15,195114539,8634.8,,132,
12-Aug-16,8605.45,8684.3,8604.45,8672.15,272014034,11998.86,,133,
16-Aug-16,8670.25,8682.35,8600.45,8642.55,231771409,10937.35,,134,
17-Aug-16,8639.8,8667.1,8603.6,8624.05,179540691,8161.38,,135,
