Date,Open,High,Low,Close,Volume,Market Cap,,,
"Oct 05, 2017",292.77,298.04,288.84,295.86,"25,37,47,000","27,80,04,00,000",,,2.471086253
"Oct 04, 2017",292.75,299.39,290.9,292.66,"25,79,06,000","27,79,41,00,000",,,2.466363368
"Oct 03, 2017",297.48,300.11,288.13,292.46,"32,16,80,000","28,23,85,00,000",,,2.466066476
"Oct 02, 2017",302.48,302.92,294.58,297.48,"33,94,43,000","28,70,85,00,000",,,2.473457773
"Oct 01, 2017",301.55,303.19,295.06,302.34,"30,61,85,000","28,61,52,00,000",,,2.480495609
"Sep 30, 2017",291.48,303.96,291.11,301.47,"33,24,39,000","27,65,52,00,000",,,2.479244101
"Sep 29, 2017",299.12,299.92,279.77,291.47,"54,13,75,000","28,37,59,00,000",,,2.464593861
"Sep 28, 2017",306.47,307.2,295.47,299.16,"50,18,94,000","29,06,87,00,000",,,2.475903525
"Sep 27, 2017",287.02,308.02,286.82,306.47,"55,02,44,000","27,21,94,00,000",,,2.486387968
"Sep 26, 2017",292.35,293.75,287.02,287.44,"34,58,01,000","27,72,00,00,000",,,2.458547204
"Sep 25, 2017",282.22,293.52,281.88,292.33,"48,31,61,000","26,75,55,00,000",,,2.465873387
"Sep 24, 2017",286.21,292.95,278.13,282.48,"57,14,11,000","27,12,99,00,000",,,2.450987705
"Sep 23, 2017",264.6,286.17,261.12,286.17,"45,09,34,000","25,07,71,00,000",,,2.456624104
"Sep 22, 2017",258.11,270.54,256.22,264.31,"43,00,81,000","24,45,84,00,000",,,2.422113595
"Sep 21, 2017",283.26,286.61,255.02,258.58,"60,12,66,000","26,83,60,00,000",,,2.412594931
"Sep 20, 2017",282.02,290.89,278.05,283.74,"42,14,04,000","26,71,24,00,000",,,2.452920564
"Sep 19, 2017",293.66,295.77,274.48,282.8,"64,69,09,000","27,80,93,00,000",,,2.451479405
"Sep 18, 2017",252.23,293.5,252.23,293.5,"1,12,77,50,000","23,88,12,00,000",,,2.467608106
"Sep 17, 2017",245.85,257,235.24,251.75,"42,74,52,000","23,27,25,00,000",,,2.400969479
"Sep 16, 2017",250.87,262.59,238.22,246.52,"71,17,37,000","23,74,26,00,000",,,2.391852159
"Sep 15, 2017",215.22,258.66,195.04,250.46,"1,93,57,00,000","20,36,49,00,000",,,2.398738376
"Sep 14, 2017",276.59,280.84,213.91,213.91,"1,18,45,90,000","26,16,61,00,000",,,2.330231088
"Sep 13, 2017",291.12,291.12,260.61,277.11,"92,16,92,000","27,53,57,00,000",,,2.442652198
"Sep 12, 2017",294.63,311.2,287.23,291.46,"75,31,44,000","27,86,18,00,000",,,2.464578961
"Sep 11, 2017",289.75,300.69,286.69,294.53,"57,13,07,000","27,39,44,00,000",,,2.469129537
"Sep 10, 2017",294.06,294.76,268.97,288.75,"69,83,26,000","27,79,72,00,000",,,2.460521993
"Sep 09, 2017",296.17,299.89,287.22,294.41,"52,86,21,000","27,99,05,00,000",,,2.468952557
"Sep 08, 2017",329.64,329.64,285.16,296.5,"1,09,87,80,000","31,14,72,00,000",,,2.472024698
"Sep 07, 2017",333.52,333.52,319.94,329.43,"71,86,24,000","31,50,75,00,000",,,2.517763146
"Sep 06, 2017",313.8,334.66,313.49,334.34,"1,05,88,30,000","29,63,91,00,000",,,2.524188338
"Sep 05, 2017",297.57,318.57,268.29,312.99,"1,55,10,50,000","28,10,00,00,000",,,2.495530462
"Sep 04, 2017",347.13,347.13,279.94,295.17,"1,80,16,90,000","32,77,40,00,000",,,2.470072215
"Sep 03, 2017",350.23,366.49,332.23,347.48,"98,62,66,000","33,05,98,00,000",,,2.540929813
"Sep 02, 2017",387.82,389.35,328.1,348.98,"1,48,36,00,000","36,60,12,00,000",,,2.542800538
"Sep 01, 2017",383.47,390.04,383.47,387.74,"87,42,22,000","36,18,29,00,000",,,2.588540606
"Aug 31, 2017",378.44,386.14,376.35,383.04,"70,62,54,000","35,70,15,00,000",,,2.583244129
"Aug 30, 2017",369.47,388.75,361.97,378.49,"1,33,33,20,000","34,84,84,00,000",,,2.57805441
"Aug 29, 2017",347.97,373.76,347.79,370.67,"1,22,00,30,000","32,81,32,00,000",,,2.568987438
"Aug 28, 2017",350.04,352.05,338.41,347.75,"85,43,19,000","33,00,27,00,000",,,2.541267139
"Aug 27, 2017",334.36,347.89,334.36,347.89,"63,33,70,000","31,51,75,00,000",,,2.541441945
"Aug 26, 2017",331.99,334.99,327.92,333.88,"51,41,81,000","31,28,83,00,000",,,2.523590405
"Aug 25, 2017",326.11,336.4,325.8,331.92,"76,03,29,000","30,72,79,00,000",,,2.521033422
"Aug 24, 2017",317.45,327.96,317.08,325.61,"69,76,65,000","29,90,46,00,000",,,2.512697734
"Aug 23, 2017",315.27,324.21,314.54,317.52,"81,19,90,000","29,69,19,00,000",,,2.501771086
"Aug 22, 2017",321.06,327.36,297.91,314.79,"1,33,64,00,000","30,22,99,00,000",,,2.498020928
"Aug 21, 2017",300.48,347.05,297.23,321.59,"2,44,89,70,000","28,28,55,00,000",,,2.507302536
"Aug 20, 2017",296.64,301.43,291.58,301.43,"57,19,47,000","27,91,81,00,000",,,2.479186474
"Aug 19, 2017",296.18,301.67,286.18,297.47,"86,02,02,000","27,86,79,00,000",,,2.473443173
"Aug 18, 2017",301.7,307.96,292.5,295.59,"93,61,60,000","28,38,02,00,000",,,2.470689738
"Aug 17, 2017",302.81,311.03,300.25,301.46,"90,94,94,000","28,47,75,00,000",,,2.479229695
"Aug 16, 2017",289.82,303.41,285.39,302.27,"96,76,43,000","27,24,97,00,000",,,2.480395046
"Aug 15, 2017",299.95,300.41,279.33,289.82,"1,05,18,00,000","28,19,58,00,000",,,2.462128352
"Aug 14, 2017",298.03,306.81,296.41,300.1,"86,43,91,000","28,00,87,00,000",,,2.477265995
"Aug 13, 2017",310.37,310.82,289.31,298.06,"1,36,93,70,000","29,16,11,00,000",,,2.474303697
"Aug 12, 2017",308.71,317.56,307.9,310.6,"1,11,16,50,000","28,99,87,00,000",,,2.492201451
"Aug 11, 2017",294.5,309.21,294.5,308.86,"95,35,76,000","27,65,70,00,000",,,2.489761667
"Aug 10, 2017",296.96,306.59,289.93,295.89,"1,07,68,20,000","27,88,22,00,000",,,2.471130288
"Aug 09, 2017",297.63,318.72,276.69,296.03,"2,63,85,80,000","27,93,87,00,000",,,2.471335725
"Aug 08, 2017",269.1,298.91,266.8,296.77,"1,50,24,10,000","25,25,46,00,000",,,2.472419997
"Aug 07, 2017",261.24,271.96,256.69,269.18,"93,57,27,000","24,51,10,00,000",,,2.430042789
"Aug 06, 2017",256.42,271.05,252.85,261.57,"1,48,29,80,000","24,05,35,00,000",,,2.417587932
"Aug 05, 2017",222.85,256.51,221.95,256.51,"1,33,30,00,000","20,90,00,00,000",,,2.409104301
"Aug 04, 2017",225.31,227.62,222.06,223.07,"53,97,83,000","21,12,56,00,000",,,2.348441167
"Aug 03, 2017",220.18,228.29,219.89,225.34,"55,72,17,000","20,64,01,00,000",,,2.35283829
"Aug 02, 2017",227.01,229.51,218.12,219.95,"63,26,06,000","21,27,52,00,000",,,2.342323966
"Aug 01, 2017",204.69,227.74,204.69,226.77,"1,58,53,30,000","19,17,91,00,000",,,2.3555856
"Jul 31, 2017",197.41,203.87,193.41,203.87,"56,94,14,000","18,49,20,00,000",,,2.309353323
"Jul 30, 2017",206.74,208.54,196.15,197.98,"59,62,34,000","19,36,09,00,000",,,2.29662132
"Jul 29, 2017",193.34,208.68,179.65,205.79,"82,43,55,000","18,10,18,00,000",,,2.313424267
"Jul 28, 2017",204.33,204.9,192.3,193.12,"56,25,71,000","19,12,51,00,000",,,2.285827253
"Jul 27, 2017",204.86,206.44,201.26,204.32,"39,32,83,000","19,16,98,00,000",,,2.31031088
"Jul 26, 2017",207.09,210.77,194.78,203.95,"71,76,92,000","19,37,34,00,000",,,2.30952371
"Jul 25, 2017",224.37,225.32,195.85,206.71,"1,09,57,60,000","20,98,52,00,000",,,2.315361487
"Jul 24, 2017",226.29,227.54,222.45,224.71,"43,16,91,000","21,15,85,00,000",,,2.3516224
"Jul 23, 2017",229.12,231.68,217.72,225.95,"64,96,15,000","21,41,83,00,000",,,2.354012346
"Jul 22, 2017",217.86,232.7,216.87,229.48,"61,82,60,000","20,36,01,00,000",,,2.360744841
"Jul 21, 2017",226.06,235.12,213.01,218.31,"1,00,61,30,000","21,12,11,00,000",,,2.33907363
"Jul 20, 2017",205.42,233.9,203.22,227.27,"2,22,50,00,000","19,18,78,00,000",,,2.356542112
